Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location
Sun,08/05/2018,Hamilton Park,(312) 747-6174,Black Panther,Y,PG-13,,513 W. 72nd St.,"513 W. 72nd St.
Chicago, IL
(41.763495, -87.637669)"
Fri,06/15/2018,Vittum Park,(773) 284-6022,Justice League,Y,PG-13,,5010 W. 50th St.,"5010 W. 50th St.
Chicago, IL
(41.802024, -87.748205)"
Sun,07/22/2018,Bessemer Park,(312) 747-6023,Star Wars: The Last Jedi,Y,PG-13,,8930 S. Muskegon Ave.,"8930 S. Muskegon Ave.
Chicago, IL
(41.732921, -87.555452)"
Thu,06/21/2018,Osterman Beach,(312) 742-1134,Donkey Skin (Peau d'ane),Y,NR,The Cultural Services at the Consulate General of France in Chicago,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL"
Thu,06/21/2018,Altgeld Park,(312) 746-5001,Justice League,Y,PG-13,,515 S. Washtenaw Ave.,"515 S. Washtenaw Ave.
Chicago, IL
(41.874341, -87.693699)"
Thu,08/16/2018,West Pullman Park,(312) 747-7090,The Fate of the Furious,Y,PG-13,,401 W. 123rd St.,"401 W. 123rd St.
Chicago, IL
(41.670629, -87.6324)"
Fri,07/20/2018,Armour Square Park,(312) 747-6012,Cars 3,Y,G,,3309 S. Shields Ave.,"3309 S. Shields Ave.
Chicago, IL
(41.834212, -87.635226)"
Sun,06/17/2018,Jonquil Playlot Park,(312) 742-7816,Paddington 2,Y,PG,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)"
Mon,07/16/2018,Osterman Beach,(312) 742-1134,9 to 5,Y,PG,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL"
Sat,08/25/2018,Oz Park,(312) 742-7898,The Wizard of Oz,Y,G,,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)"
Fri,06/29/2018,Kelly Park,(312) 747-6197,Jumanji: Welcome to the Jungle,Y,PG-13,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL
(41.819371, -87.693257)"
Sun,08/12/2018,La Villita Park,(312) 747-6608,LVEJO Film Showcase,N,NR,,2800 S. Sacramento Blvd.,"2800 S. Sacramento Blvd.
Chicago, IL"
Fri,07/06/2018,Dunham Park,(773) 685-3257,The Sandlot,Y,PG,,4638 N. Melvina Ave.,"4638 N. Melvina Ave.
Chicago, IL
(41.965863, -87.781985)"
Tue,08/07/2018,A. Montgomery Ward Park,(312) 742-7895,The Post,Y,PG-13,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)"
Fri,06/15/2018,Bell Park,(312) 746-5008,Wonder,Y,PG,,3020 N. Oak Park Ave.,"3020 N. Oak Park Ave.
Chicago, IL
(41.935253, -87.795593)"
Wed,08/01/2018,Merrimac Park,(773) 685-3382,Coco,Y,PG,,6343 W. Irving Park Rd.,"6343 W. Irving Park Rd.
Chicago, IL
(41.952941, -87.785768)"
Sun,08/26/2018,Jonquil Playlot Park,(312) 742-7816,Mary Poppins,Y,G,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)"
Thu,07/05/2018,Wicker Park,(312) 742-7553,Ghost,Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.907977, -87.677399)"
Tue,06/19/2018,A. Montgomery Ward Park,(312) 742-7895,Jumanji: Welcome to the Jungle,Y,PG-13,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)"
Fri,08/03/2018,Nat King Cole Park,(312) 747-6063,Justice League,Y,PG-13,,361 E. 85th St.,"361 E. 85th St.
Chicago, IL
(41.740144, -87.615445)"
Mon,07/30/2018,Chippewa Park,(773) 731-0380,Trolls,Y,PG,Debra & Ira Silverstein,6748 N. Sacramento Ave.,"6748 N. Sacramento Ave.
Chicago, IL
(42.004271, -87.70461)"
Sat,08/25/2018,Wolfe Playground Park,(312) 747-7005,Cars 3,Y,G,,3325 E. 108th St.,"3325 E. 108th St.
Chicago, IL
(41.699136, -87.543168)"
Wed,07/11/2018,"Bartelme, Mary Park",(312) 746-5962,The Princess Bride,Y,PG,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)"
Sat,08/18/2018,Churchill Field Playlot Park,(312) 742-7554,Roman Holiday,Y,NR,The Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL
(41.914792, -87.677554)"
Fri,08/17/2018,Revere Park,(773) 478-1220,Spark: A Space Tail,Y,PG,,2509 W. Irving Park Rd.,"2509 W. Irving Park Rd.
Chicago, IL
(41.95398, -87.691084)"
Tue,08/07/2018,Cragin Park,(312) 746-5065,Selena,Y,PG,,2611 N. Lockwood Ave.,"2611 N. Lockwood Ave.
Chicago, IL
(41.9282, -87.758743)"
Tue,08/21/2018,McKinley Park,(312) 747-6527,A Dog's Purpose,Y,PG,,2210 W. Pershing Rd.,"2210 W. Pershing Rd.
Chicago, IL
(41.823114, -87.679668)"
Thu,08/23/2018,DuSable Museum of African American History,(312) 742-1134,Elevator to the Gallows (Ascenseur pour l'Echafaud),Y,NR,The Cultural Services at the Consulate General of France in Chicago,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)"
Sun,08/12/2018,Walsh Playground Park,(312) 742-7769,The Secret Life of Pets,Y,PG,The Wicker Park Bucktown Chamber of Commerce,1722 N. Ashland Ave.,"1722 N. Ashland Ave.
Chicago, IL
(41.912858, -87.667823)"
Tue,07/10/2018,Chicago History Museum,(312) 742-1134,Back to the Future,Y,PG,The Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL
(41.911789, -87.631947)"
Tue,08/21/2018,A. Montgomery Ward Park,(312) 742-7895,Coco,Y,PG,The River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL
(41.892852, -87.640929)"
Mon,07/23/2018,Harold Washington Playlot Park,(312) 747-6620,The Wiz,Y,G,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.801011, -87.584541)"
Wed,08/01/2018,Ridge Park,(312) 747-6640,Jumanji: Welcome to the Jungle,Y,PG-13,,1817 W. 96th Street,"1817 W. 96th Street
Chicago, IL
(41.719328, -87.668116)"
Fri,06/29/2018,Owens Park,(312) 747-6709,Black Panther,Y,PG-13,,8800 S. Clyde,"8800 S. Clyde
Chicago, IL
(41.734405, -87.573238)"
Fri,08/17/2018,Maggie Daley Park,(312) 742-3918,Coco,Y,PG,The Museum of Science and Industry,337 E. Randolph St.,"337 E. Randolph St.
Chicago, IL
(41.884351, -87.620142)"
Fri,08/10/2018,Galewood Park,(312) 746-5089,Jumanji: Welcome to the Jungle,Y,PG-13,,5729 W. Bloomingdale Ave.,"5729 W. Bloomingdale Ave.
Chicago, IL
(41.912565, -87.769515)"
Wed,08/01/2018,Harrison Park,(312) 746-5491,Looking for a Boyfriend … for My Wife / Se busca novio … para mi mujer,Y,NR,The International Latino Cultural Center,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL
(41.856825, -87.671063)"
Fri,07/06/2018,Holstein Park,(312) 742-7554,Love Songs (Les Chansons d'Amour),Y,NR,The Cultural Services at the Consulate General of France in Chicago,2200 N. Oakley Ave.,"2200 N. Oakley Ave.
Chicago, IL
(41.922402, -87.685509)"
Mon,08/20/2018,South Shore Cultural Center,(773) 256-0149,Wonder Woman,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)"
